banco,fecha,Cartera total (MDP),IMOR (%),ICOR (%),Pérdida esperada (%),ROA (Flujo 12 meses),ROE (Flujo 12 meses)
BBVA México,abr-25,1985411.0,1.62,188.5,3.05,2.97,26.24
BBVA México,mar-26,2146297.0,1.57,204.53,3.21,2.87,24.46
BBVA México,abr-26,2156488.0,1.62,196.72,3.2,2.86,24.41
Santander,abr-25,924115.0,2.33,137.72,3.21,1.49,18.11
Santander,mar-26,986446.0,2.21,142.22,3.15,1.72,21.27
Santander,abr-26,989156.0,2.23,140.2,3.13,1.74,21.47
Banorte,abr-25,1138623.0,0.92,178.07,1.64,2.5,29.57
Banorte,mar-26,1213113.0,1.45,139.05,2.01,2.53,29.74
Banorte,abr-26,1217242.0,1.47,137.37,2.02,2.55,30.08
Banamex,abr-25,475815.0,2.72,195.55,5.33,1.37,8.96
Banamex,mar-26,529170.0,3.04,176.98,5.38,1.85,11.39
Banamex,abr-26,530927.0,3.06,177.02,5.41,1.81,11.15
Scotiabank,abr-25,520045.0,3.97,68.23,2.71,1.21,12.2
Scotiabank,mar-26,536806.0,4.1,70.14,2.87,1.37,12.96
Scotiabank,abr-26,537420.0,4.06,72.45,2.94,1.34,12.65
HSBC,abr-25,506302.0,2.4,153.81,3.69,0.81,8.88
HSBC,mar-26,457135.0,3.16,118.29,3.74,0.97,9.96
HSBC,abr-26,455587.0,3.07,119.91,3.68,0.92,9.39
Inbursa,abr-25,469223.0,1.66,140.74,2.34,3.85,13.98
Inbursa,mar-26,487189.0,1.4,170.31,2.38,3.11,10.68
Inbursa,abr-26,488155.0,1.88,132.37,2.48,3.06,10.49
Citi México,abr-25,190291.0,1.19,184.18,2.2,1.25,10.47
Citi México,mar-26,156531.0,1.44,166.23,2.4,1.71,12.65
Citi México,abr-26,145640.0,1.55,163.74,2.54,1.74,12.78
Banco del Bajío,abr-25,266437.0,1.69,125.47,2.12,2.9,23.52
Banco del Bajío,mar-26,286440.0,1.55,121.74,1.88,2.26,18.39
Banco del Bajío,abr-26,285926.0,1.76,106.28,1.87,2.24,18.27
Banco Azteca,abr-25,192362.0,3.77,314.68,11.87,1.89,15.57
Banco Azteca,mar-26,208270.0,5.74,208.98,12.0,1.93,14.63
Banco Azteca,abr-26,208770.0,5.56,208.98,11.62,1.87,14.04
Afirme,abr-25,66266.0,3.99,84.78,3.39,0.22,7.46
Afirme,mar-26,69353.0,2.6,125.25,3.26,0.19,6.47
Afirme,abr-26,68920.0,2.61,123.63,3.23,0.2,6.87
Monex,abr-25,54377.0,1.42,132.95,1.88,1.26,26.39
Monex,mar-26,64633.0,0.71,170.33,1.21,1.19,21.07
Monex,abr-26,64236.0,0.86,143.05,1.24,1.19,20.64
Banregio,abr-25,181497.0,1.4,148.9,2.09,2.65,21.47
Banregio,mar-26,187001.0,1.28,137.65,1.76,2.36,18.99
Banregio,abr-26,189792.0,1.31,133.23,1.74,2.34,18.86
J.P. Morgan,abr-25,29102.0,,,0.66,2.26,13.39
J.P. Morgan,mar-26,24621.0,,,0.71,2.05,12.17
J.P. Morgan,abr-26,24578.0,,,0.71,2.02,11.82
Invex,abr-25,45939.0,2.01,280.58,5.65,0.8,15.62
Invex,mar-26,53658.0,2.59,231.09,5.99,0.62,11.65
Invex,abr-26,54330.0,2.64,230.59,6.09,0.66,12.27
Banca Mifel,abr-25,81656.0,2.54,91.47,2.33,2.15,23.27
Banca Mifel,mar-26,95541.0,2.4,84.87,2.03,2.07,22.06
Banca Mifel,abr-26,94351.0,2.68,79.29,2.12,2.04,21.76
Banco Base,abr-25,11161.0,3.02,102.84,3.11,1.62,30.5
Banco Base,mar-26,10255.0,3.62,99.7,3.61,0.97,22.0
Banco Base,abr-26,10418.0,2.87,105.56,3.03,0.98,22.56
Multiva,abr-25,72159.0,3.01,104.44,3.14,0.82,11.86
Multiva,mar-26,102129.0,1.88,136.06,2.56,0.83,13.19
Multiva,abr-26,106219.0,2.14,124.8,2.68,0.85,13.48
BanCoppel,abr-25,68769.0,6.03,149.44,9.01,1.98,16.69
BanCoppel,mar-26,84621.0,6.53,131.48,8.58,1.3,10.07
BanCoppel,abr-26,83704.0,6.7,133.96,8.97,1.26,9.77
Bank of America,abr-25,39045.0,,,0.76,1.63,12.87
Bank of America,mar-26,44901.0,,,0.92,1.04,7.74
Bank of America,abr-26,43998.0,,,0.86,1.21,8.76
Sabadell,abr-25,97553.0,2.46,60.92,1.5,0.97,8.11
Sabadell,mar-26,112491.0,1.97,70.27,1.38,0.86,7.03
Sabadell,abr-26,111807.0,1.99,70.87,1.41,0.85,6.94
Barclays,abr-25,,,,,0.87,10.39
Barclays,mar-26,,,,,0.62,9.21
Barclays,abr-26,,,,,0.51,7.72
Ve por Más,abr-25,57955.0,3.0,99.74,2.99,1.44,14.09
Ve por Más,mar-26,69192.0,3.02,102.26,3.08,1.01,11.05
Ve por Más,abr-26,68616.0,2.92,100.41,2.93,0.99,11.11
Compartamos,abr-25,55415.0,3.4,222.34,7.57,9.34,34.41
Compartamos,mar-26,63487.0,4.86,187.15,9.1,8.52,31.29
Compartamos,abr-26,61307.0,4.73,198.14,9.36,8.3,30.48
Bansí,abr-25,27035.0,3.53,186.33,6.58,1.78,16.48
Bansí,mar-26,28424.0,4.31,160.93,6.94,1.89,16.58
Bansí,abr-26,28512.0,4.59,151.87,6.98,1.9,16.34
BIAfirme,abr-25,237.0,,,0.43,0.26,13.79
BIAfirme,mar-26,225.0,,,0.55,0.12,6.23
BIAfirme,abr-26,225.0,,,0.55,0.1,5.07
Actinver,abr-25,27768.0,3.36,124.53,4.19,1.03,9.38
Actinver,mar-26,30793.0,2.34,130.13,3.05,0.65,6.56
Actinver,abr-26,30561.0,2.35,126.49,2.98,0.62,6.24
Kapital,abr-25,8317.0,2.83,159.58,4.51,0.06,0.58
Kapital,mar-26,26570.0,2.84,107.33,3.05,2.81,33.66
Kapital,abr-26,27483.0,2.89,115.69,3.35,2.79,33.06
Bancrea,abr-25,41248.0,1.01,136.89,1.38,1.9,20.98
Bancrea,mar-26,48642.0,2.65,73.96,1.96,1.89,20.85
Bancrea,abr-26,49381.0,2.64,74.0,1.95,1.9,20.93
MUFG Bank,abr-25,12533.0,,,0.65,2.51,13.27
MUFG Bank,mar-26,9353.0,,,0.84,2.23,9.95
MUFG Bank,abr-26,8618.0,,,0.8,2.21,9.86
Consubanco,abr-25,28711.0,1.56,236.19,3.67,2.18,15.52
Consubanco,mar-26,33775.0,1.4,240.69,3.38,3.5,25.8
Consubanco,abr-26,34833.0,1.46,236.6,3.44,3.57,26.52
Bankaool,abr-25,10264.0,1.97,133.78,2.63,1.86,17.87
Bankaool,mar-26,18114.0,0.68,228.52,1.55,0.68,6.98
Bankaool,abr-26,19044.0,0.66,229.59,1.51,0.53,5.49
BNP Paribas México,abr-25,,,,,1.5,7.44
BNP Paribas México,mar-26,,,,,1.25,5.31
BNP Paribas México,abr-26,,,,,1.05,4.41
Openbank,abr-25,34.0,,,19.02,,
Openbank,mar-26,381.0,9.29,257.51,23.92,-12.41,-44.8
Openbank,abr-26,389.0,10.1,252.57,25.51,-11.83,-47.53
Banco Plata,abr-25,,,,,,
Banco Plata,mar-26,13376.0,4.74,331.76,15.73,,
Banco Plata,abr-26,14353.0,6.03,277.9,16.76,,
Inmobiliario Mexicano,abr-25,12844.0,2.81,63.13,1.78,1.3,11.03
Inmobiliario Mexicano,mar-26,13451.0,2.32,70.24,1.63,0.84,7.21
Inmobiliario Mexicano,abr-26,13415.0,2.48,67.46,1.68,0.82,7.07
Hey Banco,abr-25,,,,,,
Hey Banco,mar-26,10652.0,1.54,270.74,4.17,2.83,6.81
Hey Banco,abr-26,10736.0,1.56,281.17,4.39,2.19,6.69
Mizuho Bank,abr-25,5945.0,,,0.46,4.26,11.25
Mizuho Bank,mar-26,3059.0,,,0.43,2.52,7.56
Mizuho Bank,abr-26,7106.0,,,0.44,2.41,7.31
ICBC,abr-25,4503.0,,,2.54,2.85,25.09
ICBC,mar-26,5076.0,,,1.79,2.16,18.47
ICBC,abr-26,4989.0,5.28,56.97,3.01,1.83,15.79
Covalto,abr-25,6116.0,5.17,70.78,3.66,1.06,8.41
Covalto,mar-26,8731.0,5.5,70.09,3.85,1.63,12.08
Covalto,abr-26,8806.0,5.4,71.81,3.88,1.55,11.3
Volkswagen Bank,abr-25,7006.0,1.11,202.21,2.23,5.58,10.67
Volkswagen Bank,mar-26,8309.0,1.59,181.05,2.88,5.43,12.5
Volkswagen Bank,abr-26,8344.0,1.71,174.63,2.99,4.64,10.79
Revolut Bank,abr-25,,,,,,
Revolut Bank,mar-26,47.0,0.02,157250.22,25.28,,
Revolut Bank,abr-26,84.0,0.01,191452.97,20.32,,
Bank of China,abr-25,4105.0,3.27,110.92,3.62,1.98,9.96
Bank of China,mar-26,3500.0,1.55,132.94,2.06,2.04,6.61
Bank of China,abr-26,3842.0,1.41,134.56,1.9,1.49,4.76
Shinhan,abr-25,4141.0,1.34,66.08,0.89,2.03,6.93
Shinhan,mar-26,3878.0,1.44,69.96,1.0,1.61,5.89
Shinhan,abr-26,3966.0,1.24,73.04,0.9,1.6,5.84
Banco S3,abr-25,31.0,,,0.43,5.74,13.52
Banco S3,mar-26,258.0,,,0.32,4.7,12.09
Banco S3,abr-26,230.0,,,0.48,4.67,12.02
KEB Hana México,abr-25,3971.0,1.44,123.86,1.78,0.97,3.09
KEB Hana México,mar-26,3490.0,1.7,130.12,2.22,0.65,2.08
KEB Hana México,abr-26,3431.0,1.74,130.33,2.27,0.64,2.08
Ualá,abr-25,645.0,18.73,103.22,19.34,-19.19,-159.38
Ualá,mar-26,1379.0,12.59,142.58,17.95,-20.06,-150.2
Ualá,abr-26,1501.0,11.66,147.24,17.17,-20.11,-151.91
Intercam Banco,abr-25,23341.0,3.8,162.77,6.19,3.73,28.2
Intercam Banco,mar-26,648.0,91.38,109.43,100.0,-0.14,-0.64
Intercam Banco,abr-26,638.0,91.28,109.55,100.0,-1.01,-3.95
Dondé Banco,abr-25,1532.0,0.21,393.75,0.83,-6.45,-23.23
Dondé Banco,mar-26,1373.0,0.24,275.75,0.65,-2.43,-15.32
Dondé Banco,abr-26,1362.0,0.24,277.06,0.66,-2.03,-13.35
Banco Bineo,abr-25,29.0,27.1,128.35,34.78,-30.69,-33.4
Banco Bineo,mar-26,1.0,22.51,123.72,27.84,-24.73,-25.64
Banco Bineo,abr-26,1.0,18.25,109.75,20.03,-24.65,-25.52
Credit Suisse,abr-25,,,,,-7.79,-9.13
Credit Suisse,mar-26,,,,,-4.2,-4.35
Credit Suisse,abr-26,,,,,-3.23,-3.34
Banfeliz (antes Forjadores),abr-25,395.0,12.62,112.2,14.16,0.18,0.26
Banfeliz (antes Forjadores),mar-26,521.0,9.45,139.23,13.16,-5.69,-8.61
Banfeliz (antes Forjadores),abr-26,523.0,10.43,137.25,14.32,-5.83,-8.9
Pagatodo,abr-25,,,,,-19.04,-21.83
Pagatodo,mar-26,,,,,-3.91,-11.35
Pagatodo,abr-26,,,,,-3.56,-10.96
CIBanco,abr-25,16196.0,2.89,115.87,3.35,0.44,11.57
CIBanco,mar-26,,,,,,
CIBanco,abr-26,,,,,,
