banco,valor,metrica,fecha,pk
Actinver,40390.65838,captacion_total,2025-03,Actinver_captacion_total_2025-03
Actinver,38921.183187,captacion_total,2026-02,Actinver_captacion_total_2026-02
Actinver,39661.965963,captacion_total,2026-03,Actinver_captacion_total_2026-03
Actinver,37.051863,cuenta_global,2025-03,Actinver_cuenta_global_2025-03
Actinver,21.331116,cuenta_global,2026-02,Actinver_cuenta_global_2026-02
Actinver,21.035849,cuenta_global,2026-03,Actinver_cuenta_global_2026-03
Actinver,14371.352187,dep_exigibilidad,2025-03,Actinver_dep_exigibilidad_2025-03
Actinver,13920.590269,dep_exigibilidad,2026-02,Actinver_dep_exigibilidad_2026-02
Actinver,12676.65636,dep_exigibilidad,2026-03,Actinver_dep_exigibilidad_2026-03
Actinver,5443.187432,dep_plazo_dinero,2025-03,Actinver_dep_plazo_dinero_2025-03
Actinver,5731.162012,dep_plazo_dinero,2026-02,Actinver_dep_plazo_dinero_2026-02
Actinver,7556.072669,dep_plazo_dinero,2026-03,Actinver_dep_plazo_dinero_2026-03
Actinver,8749.509664,dep_plazo_publico,2025-03,Actinver_dep_plazo_publico_2025-03
Actinver,8513.493226,dep_plazo_publico,2026-02,Actinver_dep_plazo_publico_2026-02
Actinver,7601.182051,dep_plazo_publico,2026-03,Actinver_dep_plazo_publico_2026-03
Actinver,34.485949,prestamos_interb,2025-03,Actinver_prestamos_interb_2025-03
Actinver,263.441119,prestamos_interb,2026-02,Actinver_prestamos_interb_2026-02
Actinver,334.618682,prestamos_interb,2026-03,Actinver_prestamos_interb_2026-03
Actinver,11755.071285,titulos_credito,2025-03,Actinver_titulos_credito_2025-03
Actinver,10471.165445,titulos_credito,2026-02,Actinver_titulos_credito_2026-02
Actinver,11472.400352,titulos_credito,2026-03,Actinver_titulos_credito_2026-03
Afirme,88497.17595100001,captacion_total,2025-03,Afirme_captacion_total_2025-03
Afirme,91543.069235,captacion_total,2026-02,Afirme_captacion_total_2026-02
Afirme,90652.01245,captacion_total,2026-03,Afirme_captacion_total_2026-03
Afirme,217.291097,cuenta_global,2025-03,Afirme_cuenta_global_2025-03
Afirme,239.926786,cuenta_global,2026-02,Afirme_cuenta_global_2026-02
Afirme,255.206909,cuenta_global,2026-03,Afirme_cuenta_global_2026-03
Afirme,42566.903152,dep_exigibilidad,2025-03,Afirme_dep_exigibilidad_2025-03
Afirme,45432.661047,dep_exigibilidad,2026-02,Afirme_dep_exigibilidad_2026-02
Afirme,45562.101741,dep_exigibilidad,2026-03,Afirme_dep_exigibilidad_2026-03
Afirme,0.0,dep_plazo_dinero,2025-03,Afirme_dep_plazo_dinero_2025-03
Afirme,0.0,dep_plazo_dinero,2026-02,Afirme_dep_plazo_dinero_2026-02
Afirme,0.0,dep_plazo_dinero,2026-03,Afirme_dep_plazo_dinero_2026-03
