banco,tipo_credito,valor,metrica,fecha,pk
Actinver,CCCAdq BiMu,0.0,cartera,2025-03,Actinver_CCCAdq BiMu_cartera_2025-03
Actinver,CCCAdq BiMu,0.0,cartera,2026-02,Actinver_CCCAdq BiMu_cartera_2026-02
Actinver,CCCAdq BiMu,0.0,cartera,2026-03,Actinver_CCCAdq BiMu_cartera_2026-03
Actinver,CCCAdq BiMu,,icor,2025-03,Actinver_CCCAdq BiMu_icor_2025-03
Actinver,CCCAdq BiMu,,icor,2026-02,Actinver_CCCAdq BiMu_icor_2026-02
Actinver,CCCAdq BiMu,,icor,2026-03,Actinver_CCCAdq BiMu_icor_2026-03
Actinver,CCCAdq BiMu,,imor,2025-03,Actinver_CCCAdq BiMu_imor_2025-03
Actinver,CCCAdq BiMu,,imor,2026-02,Actinver_CCCAdq BiMu_imor_2026-02
Actinver,CCCAdq BiMu,,imor,2026-03,Actinver_CCCAdq BiMu_imor_2026-03
Actinver,CCCAdq BiMu,,pe,2025-03,Actinver_CCCAdq BiMu_pe_2025-03
Actinver,CCCAdq BiMu,,pe,2026-02,Actinver_CCCAdq BiMu_pe_2026-02
Actinver,CCCAdq BiMu,,pe,2026-03,Actinver_CCCAdq BiMu_pe_2026-03
Actinver,CCCAut,12.113335000000001,cartera,2025-03,Actinver_CCCAut_cartera_2025-03
Actinver,CCCAut,7.298916,cartera,2026-02,Actinver_CCCAut_cartera_2026-02
Actinver,CCCAut,6.949727,cartera,2026-03,Actinver_CCCAut_cartera_2026-03
Actinver,CCCAut,102.30478384749037,icor,2025-03,Actinver_CCCAut_icor_2025-03
Actinver,CCCAut,142.0870792653212,icor,2026-02,Actinver_CCCAut_icor_2026-02
Actinver,CCCAut,180.94540321632022,icor,2026-03,Actinver_CCCAut_icor_2026-03
Actinver,CCCAut,21.742121389361394,imor,2025-03,Actinver_CCCAut_imor_2025-03
Actinver,CCCAut,4.076564245978444,imor,2026-02,Actinver_CCCAut_imor_2026-02
Actinver,CCCAut,4.281391197093066,imor,2026-03,Actinver_CCCAut_imor_2026-03
Actinver,CCCAut,22.24323029124514,pe,2025-03,Actinver_CCCAut_pe_2025-03
Actinver,CCCAut,5.7922710714851355,pe,2026-02,Actinver_CCCAut_pe_2026-02
Actinver,CCCAut,7.746980564848087,pe,2026-03,Actinver_CCCAut_pe_2026-03
Actinver,CCCMicro,0.0,cartera,2025-03,Actinver_CCCMicro_cartera_2025-03
Actinver,CCCMicro,0.0,cartera,2026-02,Actinver_CCCMicro_cartera_2026-02
Actinver,CCCMicro,0.0,cartera,2026-03,Actinver_CCCMicro_cartera_2026-03
Actinver,CCCMicro,,icor,2025-03,Actinver_CCCMicro_icor_2025-03
Actinver,CCCMicro,,icor,2026-02,Actinver_CCCMicro_icor_2026-02
Actinver,CCCMicro,,icor,2026-03,Actinver_CCCMicro_icor_2026-03
Actinver,CCCMicro,,imor,2025-03,Actinver_CCCMicro_imor_2025-03
Actinver,CCCMicro,,imor,2026-02,Actinver_CCCMicro_imor_2026-02
Actinver,CCCMicro,,imor,2026-03,Actinver_CCCMicro_imor_2026-03
Actinver,CCCMicro,,pe,2025-03,Actinver_CCCMicro_pe_2025-03
Actinver,CCCMicro,,pe,2026-02,Actinver_CCCMicro_pe_2026-02
Actinver,CCCMicro,,pe,2026-03,Actinver_CCCMicro_pe_2026-03
Actinver,CCCN,0.0,cartera,2025-03,Actinver_CCCN_cartera_2025-03
Actinver,CCCN,0.0,cartera,2026-02,Actinver_CCCN_cartera_2026-02
Actinver,CCCN,0.0,cartera,2026-03,Actinver_CCCN_cartera_2026-03
Actinver,CCCN,,icor,2025-03,Actinver_CCCN_icor_2025-03
Actinver,CCCN,,icor,2026-02,Actinver_CCCN_icor_2026-02
Actinver,CCCN,,icor,2026-03,Actinver_CCCN_icor_2026-03
Actinver,CCCN,,imor,2025-03,Actinver_CCCN_imor_2025-03
Actinver,CCCN,,imor,2026-02,Actinver_CCCN_imor_2026-02
Actinver,CCCN,,imor,2026-03,Actinver_CCCN_imor_2026-03
Actinver,CCCN,,pe,2025-03,Actinver_CCCN_pe_2025-03
Actinver,CCCN,,pe,2026-02,Actinver_CCCN_pe_2026-02
Actinver,CCCN,,pe,2026-03,Actinver_CCCN_pe_2026-03
Actinver,CCCT,3588.078315,cartera,2025-03,Actinver_CCCT_cartera_2025-03
Actinver,CCCT,3590.390342,cartera,2026-02,Actinver_CCCT_cartera_2026-02
Actinver,CCCT,3204.7321589999997,cartera,2026-03,Actinver_CCCT_cartera_2026-03
Actinver,CCCT,178.69568566682094,icor,2025-03,Actinver_CCCT_icor_2025-03
Actinver,CCCT,198.99001367560226,icor,2026-02,Actinver_CCCT_icor_2026-02
Actinver,CCCT,177.44069342826285,icor,2026-03,Actinver_CCCT_icor_2026-03
Actinver,CCCT,6.813965987807598,imor,2025-03,Actinver_CCCT_imor_2025-03
Actinver,CCCT,5.1559090061745705,imor,2026-02,Actinver_CCCT_imor_2026-02
Actinver,CCCT,5.946011914439056,imor,2026-03,Actinver_CCCT_imor_2026-03
Actinver,CCCT,12.176263243016756,pe,2025-03,Actinver_CCCT_pe_2025-03
Actinver,CCCT,10.259744036488387,pe,2026-02,Actinver_CCCT_pe_2026-02
Actinver,CCCT,10.55064477230779,pe,2026-03,Actinver_CCCT_pe_2026-03
Actinver,CCCTC,0.0,cartera,2025-03,Actinver_CCCTC_cartera_2025-03
Actinver,CCCTC,0.0,cartera,2026-02,Actinver_CCCTC_cartera_2026-02
Actinver,CCCTC,0.0,cartera,2026-03,Actinver_CCCTC_cartera_2026-03
Actinver,CCCTC,,icor,2025-03,Actinver_CCCTC_icor_2025-03
Actinver,CCCTC,,icor,2026-02,Actinver_CCCTC_icor_2026-02
Actinver,CCCTC,,icor,2026-03,Actinver_CCCTC_icor_2026-03
Actinver,CCCTC,,imor,2025-03,Actinver_CCCTC_imor_2025-03
Actinver,CCCTC,,imor,2026-02,Actinver_CCCTC_imor_2026-02
Actinver,CCCTC,,imor,2026-03,Actinver_CCCTC_imor_2026-03
Actinver,CCCTC,,pe,2025-03,Actinver_CCCTC_pe_2025-03
Actinver,CCCTC,,pe,2026-02,Actinver_CCCTC_pe_2026-02
Actinver,CCCTC,,pe,2026-03,Actinver_CCCTC_pe_2026-03
Actinver,CCCnrO,434.93356900000003,cartera,2025-03,Actinver_CCCnrO_cartera_2025-03
Actinver,CCCnrO,293.04530200000005,cartera,2026-02,Actinver_CCCnrO_cartera_2026-02
Actinver,CCCnrO,307.82737,cartera,2026-03,Actinver_CCCnrO_cartera_2026-03
Actinver,CCCnrO,361.5928576245945,icor,2025-03,Actinver_CCCnrO_icor_2025-03
Actinver,CCCnrO,479.2191613654083,icor,2026-02,Actinver_CCCnrO_icor_2026-02
Actinver,CCCnrO,490.7747750916094,icor,2026-03,Actinver_CCCnrO_icor_2026-03
Actinver,CCCnrO,1.6704551034551207,imor,2025-03,Actinver_CCCnrO_imor_2025-03
Actinver,CCCnrO,1.3288198013834733,imor,2026-02,Actinver_CCCnrO_imor_2026-02
Actinver,CCCnrO,1.3301468287241647,imor,2026-03,Actinver_CCCnrO_imor_2026-03
Actinver,CCCnrO,6.0402463439192475,pe,2025-03,Actinver_CCCnrO_pe_2025-03
Actinver,CCCnrO,6.367959108247365,pe,2026-02,Actinver_CCCnrO_pe_2026-02
Actinver,CCCnrO,6.528025107059193,pe,2026-03,Actinver_CCCnrO_pe_2026-03
Actinver,CCCnrP,3141.031411,cartera,2025-03,Actinver_CCCnrP_cartera_2025-03
Actinver,CCCnrP,3290.0461240000004,cartera,2026-02,Actinver_CCCnrP_cartera_2026-02
Actinver,CCCnrP,2889.955062,cartera,2026-03,Actinver_CCCnrP_cartera_2026-03
Actinver,CCCnrP,173.88892225660305,icor,2025-03,Actinver_CCCnrP_icor_2025-03
Actinver,CCCnrP,193.05225234208058,icor,2026-02,Actinver_CCCnrP_icor_2026-02
Actinver,CCCnrP,170.54342581988757,icor,2026-03,Actinver_CCCnrP_icor_2026-03
Actinver,CCCnrP,7.468609488541024,imor,2025-03,Actinver_CCCnrP_imor_2025-03
Actinver,CCCnrP,5.499183390779721,imor,2026-02,Actinver_CCCnrP_imor_2026-02
Actinver,CCCnrP,6.4416799225648305,imor,2026-03,Actinver_CCCnrP_imor_2026-03
Actinver,CCCnrP,12.987084547178378,pe,2025-03,Actinver_CCCnrP_pe_2025-03
Actinver,CCCnrP,10.61629739632185,pe,2026-02,Actinver_CCCnrP_pe_2026-02
Actinver,CCCnrP,10.985861620293942,pe,2026-03,Actinver_CCCnrP_pe_2026-03
